"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat May 01 10:30:26 GMT 2021","Sat May 01 10:30:26 GMT 2021","1","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","openPage","openPage",""
"passed","Sat May 01 10:29:44 GMT 2021","Sat May 01 10:29:47 GMT 2021","3512","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"failed","Sat May 01 10:29:05 GMT 2021","Sat May 01 10:29:16 GMT 2021","10398","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"skipped","Sat May 01 10:30:26 GMT 2021","Sat May 01 10:30:26 GMT 2021","1","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sat May 01 10:28:32 GMT 2021","Sat May 01 10:28:35 GMT 2021","2747","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"failed","Sat May 01 10:28:52 GMT 2021","Sat May 01 10:29:02 GMT 2021","10424","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"broken","Sat May 01 10:30:52 GMT 2021","Sat May 01 10:30:52 GMT 2021","0","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","cleanUp","cleanUp",""
"passed","Sat May 01 10:28:27 GMT 2021","Sat May 01 10:28:32 GMT 2021","5389","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"passed","Sat May 01 10:29:31 GMT 2021","Sat May 01 10:29:35 GMT 2021","3639","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
"skipped","Sat May 01 10:30:13 GMT 2021","Sat May 01 10:30:13 GMT 2021","1","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"failed","Sat May 01 10:30:52 GMT 2021","Sat May 01 10:30:52 GMT 2021","2","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","openPage","openPage",""
"skipped","Sat May 01 10:30:39 GMT 2021","Sat May 01 10:30:39 GMT 2021","3","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testVerifyPost","testVerifyPost",""
"passed","Sat May 01 10:29:24 GMT 2021","Sat May 01 10:29:28 GMT 2021","4397","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"broken","Sat May 01 10:30:26 GMT 2021","Sat May 01 10:30:26 GMT 2021","0","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","cleanUp","cleanUp",""
"skipped","Sat May 01 10:30:52 GMT 2021","Sat May 01 10:30:52 GMT 2021","4","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testDeclinePost","testDeclinePost",""
"passed","Sat May 01 10:29:37 GMT 2021","Sat May 01 10:29:41 GMT 2021","3786","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"failed","Sat May 01 10:28:38 GMT 2021","Sat May 01 10:28:49 GMT 2021","11098","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"passed","Sat May 01 10:29:18 GMT 2021","Sat May 01 10:29:21 GMT 2021","2911","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"skipped","Sat May 01 10:30:00 GMT 2021","Sat May 01 10:30:00 GMT 2021","1","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
